,char,tone,rime,ipa,tone_class,pinyin,jyutping,hangul,rime_index,meter_class
6960,鍍,平,模,du,L,dù,dou6,도,4,1
6961,鍔,入,鐸,ngak,E,è,ngok6,악,11,0
6962,鍚,平,陽,yang,L,yáng,joeng4,양,11,1
6963,鍛,去,換,twan,H,duàn,dyun3,단,7,0
6964,鍜,平,麻,hae,L,xiā,haa4,하,10,1
6965,鍠,平,庚,hwaeng,L,huáng,wong4,굉,12,1
6966,鍤,入,葉,trhjep,E,chá,caap3,삽,16,0
6967,鍥,入,屑,ket,E,qiè,kit3,계,7,0
6968,鍧,平,耕,xweang,L,hōng,gwang1,굉,12,1
6969,鍪,平,尤,mjuw,L,móu,mau4,무,14,1
6970,鍫,平,宵,tshjew,L,qiāo,ciu1,초,8,1
6971,鍬,平,宵,tshjew,L,qiāo,ciu1,초,8,1
6972,鍮,平,侯,thuw,L,tōu,tau1,유,14,1
6973,鍵,平,仙,gjen,L,jiàn,gin6,건,7,1
6974,鍼,平,侵,tsyim,L,zhēn,kim4,침,15,1
6975,鍾,平,鍾,tsyowng,L,zhōng,zung1,종,1,1
6976,鎁,平,麻,yae,L,yé,je4,야,10,1
6977,鎌,平,鹽,ljem,L,lián,lim4,겸,16,1
6978,鎔,平,鍾,yowng,L,róng,jung4,용,1,1
6979,鎖,上,果,swa,X,suǒ,so2,쇄,9,0
6980,鎗,平,庚,tsrhaeng,L,qiāng,coeng1,쟁,12,1
6981,鎚,平,支,drjwe,L,chúi,ceoi4,추,3,1
6982,鎛,入,鐸,pak,E,bó,bok3,박,11,0
6983,鎞,平,齊,pej,L,bì,bai1,비,5,1
6984,鎡,平,之,tsi,L,zī,zi1,자,3,1
6985,鎩,去,祭,srjej,H,shā,saat3,쇄,5,0
6986,鎪,平,尤,srjuw,L,sōu,sau1,수,14,1
6987,鎬,上,晧,haw,X,hào,gou2,호,8,0
6988,鎮,平,眞,trin,L,zhèn,zan3,진,6,1
6989,鎰,入,質,yit,E,yì,jat6,일,6,0
6990,鎻,上,果,swa,X,suǒ,so2,쇄,9,0
6991,鏁,上,果,swa,X,suǒ,so2,쇄,9,0
6992,鏃,入,屋,tsuwk,E,zú,zuk6,족,1,0
6993,鏌,入,鐸,mak,E,mò,mok6,막,11,0
6994,鏐,平,尤,ljuw,L,líu,lau4,유,14,1
6995,鏑,入,錫,tek,E,dí,dik1,적,12,0
6996,鏖,平,豪,'aw,L,áo,ngou4,오,8,1
6997,鏗,平,耕,kheang,L,kēng,hang1,갱,12,1
6998,鏘,平,陽,tshjang,L,qiāng,coeng1,장,11,1
6999,鏚,入,錫,tshek,E,qì,cik1,척,12,0
7000,鏞,平,鍾,yowng,L,yōng,jung4,용,1,1
7001,鏟,上,產,tsrhean,X,chǎn,caan2,산,7,0
7002,鏡,去,映,kjaeng,H,jìng,geng3,경,12,0
7003,鏤,平,虞,lju,L,lòu,lau6,누,4,1
