,char,tone,rime,ipa,tone_class
0,乍,去,禡,dzrae,H
0,乎,平,模,hu,L
0,乏,入,乏,bjop,E
0,乖,平,皆,kweaj,L
0,乘,平,蒸,zying,L
0,乙,入,質B,'it,E
0,九,上,有,kjuw,X
0,乞,入,迄,khj+t,E
0,也,上,馬,yae,X
0,乳,上,麌,nyu,X
0,乾,平,寒,kan,L
0,亁,平,寒,kan,L
0,亂,去,換,lwan,H
0,了,平,蕭,lew,L
